"accountId","playerName","gameMode","assists","boosts","dBNOs","dailyKills","dailyWins","damageDealt","days","headshotKills","heals","killPoints","kills","longestKill","longestTimeSurvived","losses","maxKillStreaks","mostSurvivalTime","rankPoints","rankPointsTitle","revives","rideDistance","roadKills","roundMostKills","roundsPlayed","suicides","swimDistance","teamKills","timeSurvived","top10s","vehicleDestroys","walkDistance","weaponsAcquired","weeklyKills","weeklyWins","winPoints","wins"
"account.7212ce0c09084cabb9fe31f113c48d31","XiaYuLe_989","solo",0,5,0,3,0,1063.0035,4,6,2,0,10,153.80669,1063,5,1,1063,0,"",0,0,0,6,5,0,0,0,2311,0,0,1978.4508,19,3,0,0,0
"account.7212ce0c09084cabb9fe31f113c48d31","XiaYuLe_989","solo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.7212ce0c09084cabb9fe31f113c48d31","XiaYuLe_989","squad",401,1729,863,9,0,122261.664,53,176,1511,0,822,309.40765,1640,1012,4,1640,0,"",274,529073.3,3,16,1021,10,2239.0815,12,486264,250,11,571488.8,4932,61,2,0,26
"account.7212ce0c09084cabb9fe31f113c48d31","XiaYuLe_989","squad-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.8cdac2d70bb84b8a817e6034e6b28ff6","8ooikun","duo",65,781,184,3,0,44023.414,27,89,304,0,290,393.7928,1582,251,2,1582,0,"",52,211011.23,0,12,256,3,1507.1892,1,166535,81,2,231564.88,1692,3,0,0,6
"account.8cdac2d70bb84b8a817e6034e6b28ff6","8ooikun","duo-fpp",3,24,7,1,0,1512.9783,3,5,4,0,15,127.57925,1302,4,3,1302,0,"",1,1489.1836,0,7,5,0,0,0,4233,2,0,5799.7646,42,1,0,0,1
"account.8cdac2d70bb84b8a817e6034e6b28ff6","8ooikun","solo",0,13,0,22,0,2949.5854,3,5,2,0,32,102.86977,1156,11,2,1156,0,"",0,43304.926,14,12,11,2,0,0,5998,1,1,5807.315,62,22,0,0,0
"account.8cdac2d70bb84b8a817e6034e6b28ff6","8ooikun","solo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.8cdac2d70bb84b8a817e6034e6b28ff6","8ooikun","squad",226,1912,711,15,1,108693.59,36,180,930,0,718,351.5897,1672,611,4,1672,0,"",152,418704.5,0,9,645,13,2504.1348,5,413569,253,11,541368.3,4108,15,1,0,41
"account.8cdac2d70bb84b8a817e6034e6b28ff6","8ooikun","squad-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.8f5e8722fc9e4bd090577dbafe5f7809","BonnieS-s","duo",53,595,107,0,0,23588.83,67,42,603,0,169,300.59378,1580,346,2,1580,0,"",51,341676.06,0,8,354,7,1022.2348,4,215601.78,71,1,265781.06,1747,20,1,0,9
"account.8f5e8722fc9e4bd090577dbafe5f7809","BonnieS-s","duo-fpp",0,1,0,2,1,87.64362,1,0,0,0,2,137.51495,1440,0,1,1440,0,"",0,296.15067,0,2,1,0,0,0,1440,1,0,3011.3306,8,2,1,0,1
"account.8f5e8722fc9e4bd090577dbafe5f7809","BonnieS-s","solo",0,51,0,1,0,4846.5146,12,20,32,0,51,299.5983,1526,28,2,1526,0,"",0,11807.028,0,10,29,0,73.16641,0,20087,8,0,33828.477,141,1,0,0,1
"account.8f5e8722fc9e4bd090577dbafe5f7809","BonnieS-s","solo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.8f5e8722fc9e4bd090577dbafe5f7809","BonnieS-s","squad",650,4838,1633,5,0,240233.48,144,411,4510,0,1678,474.45163,1933,1943,4,1933,0,"",601,2120400.2,0,12,2056,58,7655.4004,26,1450326.9,894,11,1959590.4,10533,28,2,0,152
"account.8f5e8722fc9e4bd090577dbafe5f7809","BonnieS-s","squad-fpp",2,3,0,0,0,110.19551,2,0,2,0,1,36.903744,975,3,1,975,0,"",0,3428.953,0,1,3,1,0,1,1516,1,1,2028.3729,12,0,0,0,0
"account.2c9d87b8becb43a68ad8a38edaa5fc3b","toyokill","duo",40,221,115,1,0,22722.021,27,40,182,0,161,248.96402,2182,110,2,2182,0,"",31,128622.35,2,7,121,3,501.1942,2,83612,34,2,120668.67,653,1,0,0,11
"account.2c9d87b8becb43a68ad8a38edaa5fc3b","toyokill","duo-fpp",0,2,3,6,0,541.75165,1,3,2,0,6,118.499695,950,1,2,950,0,"",2,1713.6564,0,6,1,0,0,0,950,1,0,1449.9156,8,6,0,0,0
"account.2c9d87b8becb43a68ad8a38edaa5fc3b","toyokill","solo",0,10,0,11,0,1466.2715,3,2,4,0,14,145.7825,899,5,2,899,0,"",0,3061.3486,2,11,5,0,0,0,3424,0,0,4145.7363,25,11,0,0,0
"account.2c9d87b8becb43a68ad8a38edaa5fc3b","toyokill","solo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.2c9d87b8becb43a68ad8a38edaa5fc3b","toyokill","squad",465,2007,1212,8,3,176997.64,113,349,1998,0,1253,362.13684,1781,1098,4,1781,0,"",350,1456373.1,26,24,1161,24,3953.5051,16,793032.9,397,26,869679.44,6835,13,3,0,87
"account.2c9d87b8becb43a68ad8a38edaa5fc3b","toyokill","squad-fpp",0,9,5,0,0,875.9497,4,3,8,0,8,58.83953,1173,5,2,1173,0,"",3,214.18448,0,6,5,0,0,0,3711,2,0,4778.24,42,0,0,0,0
"account.1085e802dde043f4bebb058bb89087e1","ping_003","duo",21,236,75,5,0,15493.915,18,31,221,0,100,298.45398,1652,93,2,1652,0,"",21,131712.94,1,5,96,0,632.42145,2,90430,36,1,131102.6,606,5,0,0,3
"account.1085e802dde043f4bebb058bb89087e1","ping_003","duo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.1085e802dde043f4bebb058bb89087e1","ping_003","solo",0,1,0,5,0,687.8371,2,1,0,0,5,82.39861,595,3,1,595,0,"",0,0,0,5,3,1,0.92911315,0,877,0,0,1245.2632,7,5,0,0,0
"account.1085e802dde043f4bebb058bb89087e1","ping_003","solo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.1085e802dde043f4bebb058bb89087e1","ping_003","squad",100,858,318,6,0,47926.94,32,71,836,0,266,507.17853,1638,291,4,1638,0,"",81,465819.75,0,8,300,3,1651.9812,3,288614,143,9,415720.7,1882,16,0,0,13
"account.1085e802dde043f4bebb058bb89087e1","ping_003","squad-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.9b231fda774f4d11b00b0484bd33c81b","Aboy-1007","duo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.9b231fda774f4d11b00b0484bd33c81b","Aboy-1007","duo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.9b231fda774f4d11b00b0484bd33c81b","Aboy-1007","solo",0,319,1,1,0,18009,13,53,205,0,156,437.7469,1685,102,2,1685,0,"",2,164489.39,6,6,105,2,884.36676,0,100985.38,57,2,170095,541,6,0,0,3
"account.9b231fda774f4d11b00b0484bd33c81b","Aboy-1007","solo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.9b231fda774f4d11b00b0484bd33c81b","Aboy-1007","squad",954,5764,2207,13,1,338878.5,118,551,3487,0,2235,449.25308,1687,1963,4,1687,0,"",674,2278664,6,11,2049,20,3447.048,26,1441282,774,46,1813882.9,10214,62,5,0,122
"account.9b231fda774f4d11b00b0484bd33c81b","Aboy-1007","squad-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.43990a218305482bb30b395abbedaed6","XIANHUI1314","duo",24,151,83,13,0,16999.004,16,24,107,0,112,297.48758,1464,98,2,1464,0,"",18,36781.637,0,9,100,2,137.978,0,43124,16,0,55134.305,514,51,2,0,2
"account.43990a218305482bb30b395abbedaed6","XIANHUI1314","duo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.43990a218305482bb30b395abbedaed6","XIANHUI1314","solo",0,113,0,1,0,11257.108,29,31,72,0,110,363.0541,1719,74,3,1719,0,"",0,113851.836,12,10,76,22,338.2773,0,51364,13,2,48954.188,342,3,0,0,2
"account.43990a218305482bb30b395abbedaed6","XIANHUI1314","solo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.43990a218305482bb30b395abbedaed6","XIANHUI1314","squad",349,2372,1052,0,0,158284.06,74,241,1719,0,1114,338.2429,1714,899,5,1714,0,"",316,397479.34,2,15,927,11,991.0555,6,511127.75,366,10,738946.4,5676,32,0,0,33
"account.43990a218305482bb30b395abbedaed6","XIANHUI1314","squad-fpp",4,10,14,9,0,1371.2563,2,2,5,0,14,166.02028,1204,3,3,1204,0,"",3,4040.545,0,9,3,0,38.258575,0,2592,2,0,6037.167,18,9,0,0,0
"account.f5711663dc994bab95898eda3e3be808","w-yy_yy","duo",87,674,255,3,0,51381.043,32,100,394,0,382,390.93652,1669,191,3,1669,0,"",60,250008.11,10,9,195,0,163.81151,0,129190,54,6,154649.03,1583,3,0,0,4
"account.f5711663dc994bab95898eda3e3be808","w-yy_yy","duo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.f5711663dc994bab95898eda3e3be808","w-yy_yy","solo",0,486,4,0,0,39011.324,32,69,239,0,342,439.62668,1641,109,4,1641,0,"",5,224845.83,6,13,117,1,673.078,0,89742,31,7,96813.93,1042,0,0,0,8
"account.f5711663dc994bab95898eda3e3be808","w-yy_yy","solo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.f5711663dc994bab95898eda3e3be808","w-yy_yy","squad",2936,17158,8904,7,0,1298700.1,353,2394,11326,0,9274,605.55566,1903,5142,4,1903,0,"",1766,6481494,140,31,5370,65,13650.658,65,3651321.5,1957,216,4801234.5,34626,45,1,0,281
"account.f5711663dc994bab95898eda3e3be808","w-yy_yy","squad-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.868f44f374534148b6e2827e37085d48","DouYin-moli520","duo",402,2739,1001,16,0,199459,83,299,1753,0,1509,596.2843,1664,883,3,1664,0,"",253,1643257.2,8,12,896,29,1580.161,7,519854,151,33,454935.16,6879,16,0,0,20
"account.868f44f374534148b6e2827e37085d48","DouYin-moli520","duo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.868f44f374534148b6e2827e37085d48","DouYin-moli520","solo",0,55,0,3,0,5059.3154,8,11,47,0,40,165.47177,1586,24,2,1586,0,"",1,31900.408,0,8,25,3,117.473885,0,12741,3,0,14846.898,154,4,0,0,1
"account.868f44f374534148b6e2827e37085d48","DouYin-moli520","solo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.868f44f374534148b6e2827e37085d48","DouYin-moli520","squad",750,3848,1890,12,0,282014.44,118,329,2936,0,1905,546.0171,1733,1679,4,1733,0,"",529,1598169.4,10,22,1705,24,1761.3174,26,866781,419,43,851917.6,10779,83,4,0,50
"account.868f44f374534148b6e2827e37085d48","DouYin-moli520","squad-fpp",1,8,3,10,0,835.3541,1,3,6,0,10,148.03685,1416,1,2,1416,0,"",2,3502.6194,0,10,1,0,405.17133,0,1416,1,0,1479.9994,8,10,0,0,0
"account.1532a51b64104c089a027ad4c74bab18","X1ayut1an","duo",44,354,142,9,0,30544.537,29,43,219,0,256,202.5417,1556,140,4,1556,0,"",32,73194.74,1,12,142,0,69.34131,0,71952,29,1,98964.055,658,9,0,0,2
"account.1532a51b64104c089a027ad4c74bab18","X1ayut1an","duo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.1532a51b64104c089a027ad4c74bab18","X1ayut1an","solo",0,79,0,0,0,11936.262,16,23,25,0,105,231.13734,1447,69,6,1447,0,"",0,19732.73,0,18,69,1,135.57909,0,21047,7,0,31148.646,199,0,0,0,0
"account.1532a51b64104c089a027ad4c74bab18","X1ayut1an","solo-fpp",0,0,0,7,0,448.65594,1,1,0,0,7,9.715059,100,5,4,100,0,"",0,0,0,4,5,0,0,0,443,0,0,110.03678,6,7,0,0,0
"account.1532a51b64104c089a027ad4c74bab18","X1ayut1an","squad",8897,32026,30906,129,0,4183801.8,439,5875,22388,0,33896,365.0033,1732,21555,7,1732,0,"",4470,4939534.5,36,26,21766,170,10329.295,175,6938467,3843,145,8547180,88470,816,2,0,447
"account.1532a51b64104c089a027ad4c74bab18","X1ayut1an","squad-fpp",4,23,16,0,0,2007.2104,2,1,8,0,23,96.68266,1264,4,3,1264,0,"",0,0,0,10,5,0,0,0,3933,4,0,9857.617,26,0,0,0,2
"account.df24ec13d312432b8813ee2f2ea8383b","White_HaoNan","duo",62,703,212,15,0,42871.793,62,73,456,0,291,287.65674,1786,232,2,1786,0,"",45,412179.34,1,8,237,5,600.15485,4,179246,54,6,213056.1,1450,15,0,0,5
"account.df24ec13d312432b8813ee2f2ea8383b","White_HaoNan","duo-fpp",0,21,10,19,1,1470.8094,1,3,7,0,19,173.18155,1532,2,3,1532,0,"",0,2825.0432,1,14,3,0,0,0,2502,1,1,4038.9006,31,19,1,0,1
"account.df24ec13d312432b8813ee2f2ea8383b","White_HaoNan","solo",0,48,0,3,0,1961.2808,7,5,51,0,17,173.83281,1750,13,2,1750,0,"",0,25578.621,0,4,13,0,0,0,13495,4,2,14366.0625,69,3,0,0,0
"account.df24ec13d312432b8813ee2f2ea8383b","White_HaoNan","solo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.df24ec13d312432b8813ee2f2ea8383b","White_HaoNan","squad",2309,15668,6147,22,0,913714.6,470,1484,9252,0,6350,668.902,1963,4260,6,1963,0,"",1515,8369688.5,108,15,4571,80,12562.487,66,3601536.2,1816,173,4114600.2,29833,105,1,0,377
"account.df24ec13d312432b8813ee2f2ea8383b","White_HaoNan","squad-fpp",5,20,10,2,0,1493.0807,3,5,19,0,12,47.999897,1444,4,2,1444,0,"",2,7159.326,0,4,6,0,0,0,3725,2,0,3458.5417,29,2,0,0,2
"account.73d4c1a8b44d4c8d9b76ea6e01a01df2","Wind_18cm","duo",23,269,107,2,0,21777.195,28,41,153,0,159,436.5389,1804,105,3,1804,0,"",11,93079.84,3,24,108,3,216.31653,1,77055.81,27,0,94826.414,587,2,0,0,3
"account.73d4c1a8b44d4c8d9b76ea6e01a01df2","Wind_18cm","duo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.73d4c1a8b44d4c8d9b76ea6e01a01df2","Wind_18cm","solo",21,598,2,4,0,39214.402,58,93,371,0,318,352.30414,1873.316,366,2,1873.316,0,"",0,143458.69,5,11,366,5,2051.4202,4,264266.7,38,3,414058.12,1781,5,0,0,0
"account.73d4c1a8b44d4c8d9b76ea6e01a01df2","Wind_18cm","solo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.73d4c1a8b44d4c8d9b76ea6e01a01df2","Wind_18cm","squad",629,3256,1798,31,0,257642.06,131,418,2081,0,1888,477.14426,1966.688,1254,5,1966.688,0,"",469,1631556.8,33,22,1287,24,3933.0046,15,962451.1,459,33,1203592.5,7665,105,2,0,46
"account.73d4c1a8b44d4c8d9b76ea6e01a01df2","Wind_18cm","squad-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"account.6ad9e04f401347e8a1a74abb03e9b04e","konwkonw14","duo",235,2306,914,22,0,188122.36,171,337,1389,0,1394,539.8659,1638,1005,3,1638,0,"",188,309306.44,1,15,1040,9,1277.6912,10,494247,265,7,761245,4766,22,0,0,39
"account.6ad9e04f401347e8a1a74abb03e9b04e","konwkonw14","duo-fpp",0,0,1,1,0,344.66797,2,0,1,0,1,20.449574,428,3,1,428,0,"",0,0,0,1,3,0,0,0,963,0,0,1590.8153,10,1,0,0,0
"account.6ad9e04f401347e8a1a74abb03e9b04e","konwkonw14","solo",0,333,0,0,0,29441.373,73,68,153,0,243,246.35675,1504,168,2,1504,0,"",0,16835.545,1,8,176,1,0,0,78613,35,0,113229.14,745,3,0,0,8
"account.6ad9e04f401347e8a1a74abb03e9b04e","konwkonw14","solo-fpp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
